MaxTemp,MinTemp,Temp,Humidity,WindGustSpeed,WindGustDir,RainTomorrow
16.9,13.1,15,90.2,10.4,42.6,"Rain, Overcast"
22.4,12.1,16,84.1,9,5.4,"Rain, Partially cloudy"
24.3,10.7,16.7,64.5,18.4,310.7,Clear
25.7,10.3,17.7,60.8,12.6,312.7,Clear
23.7,13.8,17.8,64.5,13,319,"Rain, Partially cloudy"
22.7,10.7,15.5,68.3,21.6,293.9,Clear
23.2,9.1,15.6,71.3,8.3,332.9,Clear
24.6,9.4,16.8,50.6,10.4,350.8,Clear
25.9,12.2,18.1,35.6,11.2,47.2,Clear
26.8,14.6,19.9,28,11.5,62.9,Clear
27.9,15.9,21.1,25,12.6,356.8,Partially cloudy
29.8,16.5,22.1,25.8,16.9,337.3,Partially cloudy
30.8,17.5,23.3,27.2,19.1,325.5,Partially cloudy
31.2,18.7,23.9,26.2,18.4,328.4,Partially cloudy
30,17.2,22.6,31,17.3,357.5,Partially cloudy
31.9,18.4,23.1,34.9,22,19.7,Partially cloudy
31.9,16.6,23.3,38.7,18.7,18.7,Partially cloudy
30,17.5,23.2,28.7,18.4,332.9,Clear
30.9,17,23.6,17.1,13.3,323.9,Clear
32.4,18,24.7,15.1,12.6,339.4,Clear
33.2,20.3,26.2,12.6,16.9,342.5,Clear
33.5,21.1,26.8,11.9,16.2,344.2,Clear
33.1,20.8,26.5,11.7,14.8,328.6,Clear
33.4,20.6,26.5,13.3,17.6,344.5,Partially cloudy
35,20.2,27.2,13.9,14.4,349.7,Clear
35.4,21.5,27.8,11.2,14,75.8,Clear
35.7,22,28.3,9.6,14.4,75.3,Clear
36.6,23,29.4,9.7,13.3,354.5,Partially cloudy
26.2,18.5,23.1,47.6,6.1,232.1,Clear
